index,detected,Oval,Rectangle,Round,Square
135,True,0.12978602630715858,0.22899208745200159,0.3048841319699772,0.3363377542708626
136,True,0.08596463651403308,0.12175857293869984,0.41653253398052903,0.3757442565667381
137,True,0.018525355143369893,0.09985058766576635,0.47300766097336705,0.40861639621749674
138,True,0.028304467894166015,0.5516402886670447,0.33024687994342233,0.08980836349536692
139,False,,,,
140,True,0.010654625014403098,0.2510292505648024,0.5406922079890857,0.1976239164317087
141,True,0.16037329937370629,0.37520512130707123,0.19810096726005494,0.26632061205916757
142,True,0.015344877117029499,0.19640292859323258,0.4905200685667348,0.2977321257230031
143,True,0.2874608063405231,0.24421733730220194,0.210989830759666,0.2573320255976089
144,False,,,,
145,True,0.014173946602520446,0.1358215276725789,0.578740407322528,0.2712641184023728
146,True,0.05003785810292882,0.14121068634523667,0.2310626501100796,0.5776888054417548
147,True,0.08183672555992533,0.33432130050598935,0.24715673574624966,0.3366852381878358
148,True,0.10559115145752533,0.3713778056262929,0.29239869627197357,0.23063234664420826
149,True,0.003981462910806864,0.5340569195841811,0.4223748819088987,0.03958673559611334
150,True,0.9154051787809732,0.027922591806914452,0.01920431921628366,0.037467910195828735
151,True,0.18865786491253936,0.26876530381198815,0.25288165435665505,0.28969517691881747
152,True,0.345313237306029,0.2793846471897651,0.15766593432911052,0.21763618117509526
153,False,,,,
154,True,0.3602849009120277,0.3019980812735773,0.1805428980991141,0.15717411971528092
155,True,0.015619983543895875,0.17615319661009948,0.5426566218504195,0.26557019799558507
156,True,0.010932599742910571,0.3060233468870256,0.43425996651361387,0.24878408685645
157,True,0.9707221428261313,0.011127890265230667,0.004370852587686208,0.013779114320951804
158,False,,,,
159,True,0.024767796626302904,0.3960511070047633,0.36878490204184255,0.21039619432709114
160,False,,,,
161,True,0.007017189403289711,0.1874899122860412,0.49622689446933,0.30926600384133907
162,True,0.8381793620744349,0.03278382592052862,0.037116663452814336,0.09192014855222215
163,True,0.012767573882264342,0.22217289394698247,0.535400920014518,0.22965861215623512
164,True,0.12960807451177084,0.3401124833911007,0.20647576058422093,0.32380368151290767
165,True,0.05953489926462486,0.5177981333743576,0.2878823820390658,0.13478458532195173
166,True,0.17590245385297137,0.3095705672065585,0.24558357367770145,0.26894340526276855
167,False,,,,
168,True,0.010883248881899494,0.10596405214220495,0.5054451609670764,0.37770753800881907
169,True,0.3865251743493668,0.10515759994014483,0.1683924840291359,0.3399247416813524
170,True,0.045152737546772626,0.15245807688448673,0.370198561354161,0.4321906242145797
171,True,0.044691328663615824,0.4028908031914188,0.39478288498122477,0.15763498316374072
172,True,0.0008995024218932484,0.5545128024578672,0.4290607196589037,0.015526975461335819
173,True,0.049560563140663406,0.27995765623781854,0.31949205532819164,0.35098972529332645
174,False,,,,
175,True,0.9638356497661442,0.013186092722781402,0.005363001285703158,0.01761525622537115
176,True,0.0029290543756748835,0.47336481557205784,0.47346193009093446,0.05024419996133286
177,True,0.06460068532901203,0.19511439819820114,0.4984743147887131,0.24181060168407364
178,False,,,,
179,True,0.26195272114661633,0.2543991247047158,0.21971153742405639,0.2639366167246115
180,True,0.20635631157260562,0.22297303111686764,0.24205330660573737,0.32861735070478937
